Sample ID,Locality,Notes,Source,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3t,MnO,MgO,CaO,Na2O,K2O,P2O5,TOT/C,TOT/S,LOI,CO2,H2O,Sum,SrO,BaO,Rb,Cs,Be,Sr,Sr,Ba,Zr,Nb,Hf,Hf,Ta,Sc,V,Cr2O3,Cr,Co,Ni,Cu,Zn,Pb,Pb,Th,U,Ga,Y,La,Ce,Pr,Nd,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Mg#(oxide),(Na+K)/Al,NA2O+K2O,SiO2norm,TiO2norm,Al2O3norm,FeOtnorm,MnOnorm,MgOnorm,CaOnorm,Na2Onorm,K2Onorm,P2O5norm,La chond,Ce chond,Pr chond,Nd chond,Sm chond,Eu chond,Gd chond,Tb chond,Dy chond,Ho chond,Er chond,Tm chond,Yb chond,Lu chond,Th Spider,Nb Spider,Ta Spider,La Spider,Ce Spider,Nd Spider,P Spider,Zr Spider,Hf Spider,Eu Spider,Gd Spider,Ti Spider,Dy Spider,Y Spider,Yb Spider,Lu Spider,87Sr/86Sr,EpsilonSr,85Rb/86Sr,87Sr/86SrN,143Nd/144Nd,143Nd/144NdN,EpsilonNd,208Pb/204Pb (1),207Pb/204Pb (2),206Pb/204Pb (3),176Hf/177Hf
CA1,Castle Butte,-,Alibert et al. (1986),39.99,3.56,11.44,14.16,-,14.16,0.21,9.49,11.17,3.39,0.91,1. 76,-,-,4.07,-,-,98.39,-,-,-,-,-,-,-,1024,514,104,-,-,-,-,264,-,212,-,176,-,-,-,-,-,-,-,45.6,113,226,-,115,-,21. 7,6.07,14.5,-,8.95,-,3.25,-,2.31,0.3,42.68,0.54,4.54,42.24,3.76,12.08,13.46,0.22,10.02,11.80,3.58,0.96,1.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CB-5,Castle Butte,Intrusive Monchiquite. Spatter?,Suda et al. (1982),44.21,4.62,12.6,9.24,3.16,12.7511708,0.148,5.12,11.1,4.18,1.79,1.38,-,0.24,2.61,2.4,0.21,101.25,0.225,-,59.61,-,-,-,-,1898,-,-,18.28,-,1.43,27.4,-,-,248.3,49,2999,-,-,-,-,21.58,-,-,-,174.07,317.94,-,191.97,-,29.86,7.84,-,2.04,-,-,-,0.97,2.19,0.72,30.85,0.69,6.18,45.75,4.78,13.04,11.88,0.15,5.30,11.49,4.33,1.85,1.43,561.5,393.5,0,320.0,153.1282051,106.6666667,0,43.03797468,0,0,0,29.9382716,10.4784689,22.36024845,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CBTP2-10-18,Castle Butte Trading Post,C9 - coherent,Nathalie PhD,43.38,3.8,12.24,-,-,12.89,0.18,6.91,10.46,3.6,2.14,1.37,0.07,0.03,2.3,0.28,2.02,99.32,-,-,22.4,2.3,1,1934.8,,1293,447.3,104.4,9.9,,6.4,16,250,0.014,95.788,42.9,80,50,138,<1,-,12.7,3.5,21.8,34.8,109.3,216.2,24.39,97.4,-,16.53,4.66,12.43,1.69,7.86,1.36,3.1,0.41,2.48,0.33,37.33,0.69,6.00,45.34,3.97,12.79,12.12,0.19,7.22,10.93,3.76,2.24,1.43,352.6,267.6,199.9180328,162.3,84.76923077,63.40136054,47.99227799,35.65400844,24.40993789,18.68131868,14.76190476,12.65432099,11.86602871,10.2484472,151.1904762,146.4235624,156.097561,154.3785311,117.9487179,71.30307467,65.70294176,39.9375,32.03883495,27.73809524,20.8907563,17.79789375,10.66485753,7.648351648,5.166666667,4.459459459,-,-,-,-,-,-,-,-,-,-,-
CBTP2-10-20,Castle Butte Trading Post,C6,Nathalie PhD,44.55,3.96,12.45,-,-,12.07,0.17,5.2,10.35,4.56,1.54,1.44,0.05,<0.02,3.1,0.2,2.9,99.35,-,-,12.6,10.7,<1,1832.1,,1285,468.2,108.8,11.3,,6.4,17,247,0.014,95.788,36.3,51,22,145,5,-,13,3.4,21.9,37.6,113.3,219.6,25.28,99.2,-,17.27,4.88,12.8,1.76,8.3,1.46,3.19,0.43,2.63,0.37,32.37,0.71,6.42,46.85,4.16,13.09,11.42,0.18,5.47,10.89,4.80,1.62,1.51,365.5,271.8,207.2131148,165.3,88.56410256,66.39455782,49.42084942,37.13080169,25.77639752,20.05494505,15.19047619,13.27160494,12.58373206,11.49068323,154.7619048,152.5946704,156.097561,160.0282486,119.8036007,72.62079063,69.06002637,41.80357143,36.56957929,29.04761905,21.51260504,18.54727875,11.26187246,8.263736264,5.479166667,5,-,-,-,-,-,-,-,-,-,-,-
CBTP2-10-5A,Castle Butte Trading Post,CR-rich,Nathalie PhD,54.22,2.32,10.09,-,-,8.98,0.1,4.23,7.37,3.34,2.49,0.78,0.02,0.4,5.6,0.08,5.52,99.55,-,-,43.2,4,1,1154.6,,1064,387.2,64.4,9.5,,3.6,11,162,0.01,68.42,35.8,80,27,88,<1,-,9,3.7,17.3,26.3,67.6,134.3,15.49,57.6,-,10.35,2.91,8.19,1.17,5.6,0.98,2.58,0.34,2.15,0.31,34.36,0.85,6.27,58.29,2.49,10.85,8.69,0.11,4.55,7.92,3.59,2.68,0.84,218.1,166.2,126.9672131,96.0,53.07692308,39.59183673,31.62162162,24.6835443,17.39130435,13.46153846,12.28571429,10.49382716,10.28708134,9.627329193,107.1428571,90.32258065,87.80487805,95.48022599,73.26786688,42.16691069,37.40751429,34.57142857,30.74433657,17.32142857,13.76470588,10.8660825,7.598371777,5.78021978,4.479166667,4.189189189,-,-,-,-,-,-,-,-,-,-,-
CBTP2-10-5B,Castle Butte Trading Post,CR-rich,Nathalie PhD,40.89,3.55,11.05,-,-,10.83,0.16,4.63,9.35,6.96,1.29,1.29,0.02,0.03,9.4,0.08,9.32,99.38,-,-,14.6,5.6,3,1790.4,,1354,420.9,93.6,9.7,,5.6,15,226,0.013,88.946,35,52,31,133,<1,-,11.9,3.4,18.4,33.2,100.6,197.4,22.93,86.5,-,15.46,4.4,11.96,1.61,7.44,1.35,3.14,0.4,2.27,0.33,32.20,1.07,9.28,45.99,3.99,12.43,10.96,0.18,5.21,10.52,7.83,1.45,1.45,324.5,244.3,187.9508197,144.2,79.28205128,59.86394558,46.17760618,33.96624473,23.10559006,18.54395604,14.95238095,12.34567901,10.86124402,10.2484472,141.6666667,131.2762973,136.5853659,142.0903955,107.6923077,63.32357247,61.86627363,37.58035714,31.39158576,26.19047619,20.10084034,16.62697969,10.09497965,7.296703297,4.729166667,4.459459459,-,-,-,-,-,-,-,-,-,-,-
CBTP3-10-15,Castle Butte Trading Post,B5 welded spatter,Nathalie PhD,43.16,3.74,12.07,-,-,12.36,0.18,6.26,10.46,4.28,1.18,1.34,0.16,<0.02,4.3,0.64,3.66,99.32,-,-,13,8.7,4,2024.5,,1303,455.4,103.9,11,,5.7,16,272,0.012,82.104,41,72,28,138,<1,-,12.9,5.4,21.5,36.3,108.9,215.4,24.2,92.4,-,16.05,4.61,12.55,1.65,7.45,1.23,3.09,0.41,2.2,0.35,36.01,0.65,5.82,46.02,3.99,12.87,11.86,0.19,6.67,11.15,4.56,1.26,1.43,351.3,266.6,198.3606557,154.0,82.30769231,62.72108844,48.45559846,34.81012658,23.13664596,16.8956044,14.71428571,12.65432099,10.52631579,10.86956522,153.5714286,145.7223001,139.0243902,153.8135593,117.512275,67.64275256,64.26419121,40.66071429,35.5987055,27.44047619,21.09243697,17.51687438,10.10854817,7.978021978,4.583333333,4.72972973,-,-,-,-,-,-,-,-,-,-,-
CBTP3-10-9,Castle Butte Trading Post,B5 welded spatter,Nathalie PhD,43.18,3.75,12.19,-,-,12.74,0.18,7.2,10.12,3.97,1.76,1.35,0.04,0.06,2.9,0.16,2.74,99.32,-,-,12.1,2.7,4,1978.3,,1318,467.1,103.6,10.5,,5.9,16,242,0.013,88.946,44.4,87,50,142,<1,-,12.5,5.1,22.3,36.7,111,216.3,24.92,94.5,-,16.88,4.74,12.66,1.75,7.73,1.38,3.36,0.43,2.36,0.33,38.57,0.68,6.02,45.37,3.94,12.81,12.05,0.19,7.57,10.63,4.17,1.85,1.42,358.1,267.7,204.2622951,157.5,86.56410256,64.48979592,48.88030888,36.91983122,24.00621118,18.95604396,16,13.27160494,11.29186603,10.2484472,148.8095238,145.3015428,143.902439,156.779661,118.0032733,69.18008785,64.74377473,41.70535714,33.98058252,28.21428571,21.27731092,17.56371094,10.48846676,8.065934066,4.916666667,4.459459459,-,-,-,-,-,-,-,-,-,-,-
CH1,Chimney Butte,-,Alibert et al. (1986),42.31,3.44,13.14,14,-,14,0.22,7.63,10.41,4.73,2.87,1.71,-,-,-0.38,-,-,100.08,-,-,-,-,-,-,-,1304,564,119,-,-,-,-,243,-,124,-,107,-,-,-,-,-,-,-,46.6,124,242,-,113,-,21.6,5.91,14.2,-,8.77,-,3.37,-,2.56,0.39,37.72,0.85,7.67,42.71,3.47,13.26,12.72,0.22,7.70,10.51,4.77,2.90,1.73,400.0,299.5,-,188.3,110.7692308,80.40816327,54.82625483,,27.23602484,,16.04761905,,12.24880383,12.11180124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.703654,-12.008517,-,-,0.512758,,2.340833103,38.89,15.696,19.297,-
CL505,Woodchop,Clark,Vazquez (1998),40.88,4.24,11.15,-,12.98,14.4224674,0.21,8.74,10.94,3.56,2.6,1.76,-,-,1.81,-,-,98.87,-,-,41.5,0.63,-,1826,-,1024,585,132.57,13.14,-,7.92,22.2,-,-,147,-,130,31,153,7.17,-,12.23,3.57,25,45.07,127.84,249.34,28.49,113.76,-,22.16,6.48,16.31,2.2,10.53,1.74,3.76,0.46,2.47,0.36,40.24,0.81,6.35,42.12,4.37,11.49,13.37,0.22,9.00,11.27,3.67,2.68,1.81,412.4,308.6,233.5245902,189.6,113.6410256,88.16326531,62.97297297,46.41350211,32.70186335,23.9010989,17.9047619,14.19753086,11.81818182,11.18012422,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
